timestamp,alias,is_on,watts,today_wh,school_hours
2026-09-17T00:02:27-05:00,one,1,0.0,0.0,0
2026-09-17T00:02:27-05:00,two,1,0.0,0.0,0
2026-09-17T00:02:27-05:00,three,1,0.0,0.0,0
2026-09-17T00:02:27-05:00,four,1,0.0,0.0,0
2026-09-17T00:07:25-05:00,one,1,0.0,0.0,0
2026-09-17T00:07:25-05:00,two,1,0.0,0.0,0
2026-09-17T00:07:25-05:00,three,1,0.0,0.0,0
2026-09-17T00:07:25-05:00,four,1,0.0,0.0,0
2026-09-17T00:12:16-05:00,one,1,0.0,0.0,0
2026-09-17T00:12:16-05:00,two,1,0.0,0.0,0
2026-09-17T00:12:16-05:00,three,1,0.0,0.0,0
2026-09-17T00:12:16-05:00,four,1,0.0,0.0,0
2026-09-17T00:17:17-05:00,one,1,0.0,0.0,0
2026-09-17T00:17:17-05:00,two,1,0.0,0.0,0
2026-09-17T00:17:17-05:00,three,1,0.0,0.0,0
2026-09-17T00:17:17-05:00,four,1,0.0,0.0,0
2026-09-17T00:22:28-05:00,one,1,0.0,0.0,0
2026-09-17T00:22:28-05:00,two,1,0.0,0.0,0
2026-09-17T00:22:28-05:00,three,1,0.0,0.0,0
2026-09-17T00:22:28-05:00,four,1,0.0,0.0,0
2026-09-17T00:27:15-05:00,one,1,0.0,0.0,0
2026-09-17T00:27:15-05:00,two,1,0.0,0.0,0
2026-09-17T00:27:15-05:00,three,1,0.0,0.0,0
2026-09-17T00:27:15-05:00,four,1,0.0,0.0,0
2026-09-17T00:32:24-05:00,one,1,0.0,0.0,0
2026-09-17T00:32:24-05:00,two,1,0.0,0.0,0
2026-09-17T00:32:24-05:00,three,1,0.0,0.0,0
2026-09-17T00:32:24-05:00,four,1,0.0,0.0,0
2026-09-17T00:37:09-05:00,one,1,0.0,0.0,0
2026-09-17T00:37:09-05:00,two,1,0.0,0.0,0
2026-09-17T00:37:09-05:00,three,1,0.0,0.0,0
2026-09-17T00:37:09-05:00,four,1,0.0,0.0,0
2026-09-17T00:42:15-05:00,one,1,0.0,0.0,0
2026-09-17T00:42:15-05:00,two,1,0.0,0.0,0
2026-09-17T00:42:15-05:00,three,1,0.0,0.0,0
2026-09-17T00:42:15-05:00,four,1,0.0,0.0,0
2026-09-17T00:47:17-05:00,one,1,0.0,0.0,0
2026-09-17T00:47:17-05:00,two,1,0.0,0.0,0
2026-09-17T00:47:17-05:00,three,1,0.0,0.0,0
2026-09-17T00:47:17-05:00,four,1,0.0,0.0,0
